era,baseline_version,version,channel,total_files,root_files,jobSH_files,log_files,other_files,hist_dir
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0FRMeasure,unknown,414,92,96,184,42,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0FRMeasure
2018,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v0BDT1tau2lV16,1tau2l,407,71,89,142,105,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v0BDT1tau2lV16
2018,v0baselineLep_v94LepPreJetVetoHemOnly,v3BDT1tau2lV14,1tau2l,407,71,89,142,105,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineLep_v94LepPreJetVetoHemOnly/mc/variableHists_v3BDT1tau2lV14
2018,v0baselineLep_v84Pre1tau2lLepF2V2,v1BDT1tau2lBinC,1tau2l,406,121,0,242,43,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineLep_v84Pre1tau2lLepF2V2/mc/variableHists_v1BDT1tau2lBinC
2018,v0baselineHardro_v84HadroPresel,v0BDT1tau1lBinGv2,1tau1l,405,67,0,134,204,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHardro_v84HadroPresel/mc/variableHists_v0BDT1tau1lBinGv2
2016postVFP,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v3BDT1tau2lV14,1tau2l,405,71,88,142,104,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v3BDT1tau2lV14
2016postVFP,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v0BDT1tau2lV16,1tau2l,405,71,88,142,104,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v0BDT1tau2lV16
2016preVFP,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v3BDT1tau1lV18_fakeTauDataDriven,1tau1l,404,68,74,136,126,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v3BDT1tau1lV18_fakeTauDataDriven
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0FRMeasureBinC,unknown,402,92,96,184,30,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0FRMeasureBinC
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v1dataMC_fakeTauMC,unknown,401,88,92,176,45,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v1dataMC_fakeTauMC
